"greco","ser","year","V","PV","GTOT","NT","mqd"
"C","C20",2007,156.308333033278,4.94121242796511,20.4189597806181,726.30231623651,0.594378407820721
"C","C30",2007,196.466325375006,5.47115084146439,22.4700064886056,623.533524620403,0.672940438265154
"C","C41",2007,141.73517271671,5.36636555668886,17.3919775765534,534.41602084824,0.639498721983527
"C","C42",2007,240.740003608603,8.01787723742234,26.521478178251,650.119243172003,0.715990540242899
"C","C51",2007,170.529734489255,6.06168044229619,20.882788152838,682.141614053136,0.620243042256324
"C","C52",2007,188.634800163737,6.75018551736131,25.6197680137097,982.792871430805,0.572349792365064
"D","D11",2007,273.43722627541,9.12078654681063,28.7160798009601,688.392142393224,0.724018320282946
"D","D12",2007,257.035009619429,7.95097386613902,26.1965313984926,644.106901744913,0.714904204765872
"E","E10",2007,178.708484891727,5.77735539453451,23.5494032851508,854.737106091115,0.588408051135409
"E","E20",2007,297.429740912937,8.11972300305208,31.9111950257562,744.0996116487,0.734109640145579
"F","F11",2007,118.739104981863,6.60290873291091,19.229776047819,1036.25145611258,0.482902516182283
"F","F12",2007,93.1344387225342,3.90901162312729,15.8853196608854,862.147034782763,0.481185178686626
"F","F14",2007,129.444195073143,5.9529241304811,19.6239111671765,859.171296913759,0.535744642523926
"F","F15",2007,150.436717998969,5.50662857438216,21.6819972031249,912.007029996749,0.54658219583763
"F","F21",2007,88.2676622665668,4.62370767282595,11.6598792768198,325.893476305167,0.670523688704827
"F","F22",2007,144.070478239786,5.92628341453265,19.6154745536238,483.871220604511,0.713739028884783
"F","F23",2007,101.765629635018,5.08514332874602,14.9394892213641,556.551612988395,0.580791275358359
"F","F30",2007,130.59697102373,4.65803898821327,18.8401239270273,692.9874066538,0.584499492448343
"F","F40",2007,80.3340329916436,2.23067375438732,15.0261571391411,787.177340117326,0.489770477631953
"F","F51",2007,141.328947096288,4.88662832914277,18.9438524738472,457.811657446344,0.721100272943218
"F","F52",2007,140.864168839223,4.69527899162376,18.4610734390354,450.993101497815,0.717213503190008
"G","G11",2007,159.907741157159,6.77019887516382,21.9325365127801,797.349548709341,0.587929140194421
"G","G12",2007,191.960206245136,6.56790535455771,25.7627253891188,815.572282679095,0.630042150586724
"G","G13",2007,198.956362342093,7.51023124518796,25.9954321551925,748.535812244062,0.660613069176656
"G","G21",2007,212.215828561718,8.56215233636168,26.1442461405696,674.794757233128,0.697761726575006
"G","G22",2007,220.055433118835,7.50193279154661,27.815594312039,757.637923764205,0.679232176658105
"G","G23",2007,237.180031891229,8.80702489214935,27.34016860514,741.818677334347,0.680544681691306
"G","G30",2007,220.050216543684,6.69480318426896,30.4048702041732,822.802957730284,0.681441512717869
"G","G41",2007,235.536499924866,8.73663465725114,27.0919700184342,773.018623677599,0.663636473112528
"G","G42",2007,192.175102137921,6.18693781879377,27.1866260077953,806.734692233252,0.650754562598254
"G","G50",2007,165.016353155895,4.78380131357243,24.1979201232609,752.011517530156,0.635889575407625
"G","G60",2007,72.7590929348984,2.36228655791118,14.3348197769014,627.998661162943,0.53557672058588
"G","G70",2007,141.54599541654,4.44667239460593,25.1409608117816,879.433384209778,0.59936916092505
"G","G80",2007,167.996769355552,6.1302778864793,24.765776143917,887.605064825981,0.592135389251559
"G","G90",2007,176.206164162244,4.91774564774371,23.7581793789104,751.286889818485,0.63038896958127
"H","H10",2007,271.335168609869,6.67270886382706,32.0000841305653,826.886811892845,0.697360684687966
"H","H21",2007,283.610171367236,8.35920469465873,34.287744541865,852.041868596071,0.711121686152149
"H","H22",2007,214.87566003396,5.59860557310039,28.4921533485301,832.464141243991,0.655820217651427
"H","H30",2007,91.6248521181465,2.15469406156842,18.2302906561545,787.50078688412,0.539356889100672
"H","H41",2007,153.73874217711,3.24613709223719,23.7100949276924,704.93258778936,0.65012637385584
"H","H42",2007,182.543208528452,3.21779020843287,25.6112656725616,631.056654895096,0.714144798128049
